id,name,category,price,rating,stock,brand,description
1,Nivea Beauty & Personal Care Product 1,Beauty & Personal Care,473.85,3.3,20,Nivea,"High-quality beauty & personal care product from Nivea, perfect for everyday use."
2,LEGO Toys & Games Product 2,Toys & Games,1050.71,2.7,95,LEGO,"High-quality toys & games product from LEGO, perfect for everyday use."
3,Britannia Groceries Product 3,Groceries,519.52,2.7,18,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
4,Prestige Home & Kitchen Product 4,Home & Kitchen,148.83,1.4,56,Prestige,"High-quality home & kitchen product from Prestige, perfect for everyday use."
5,Funko Toys & Games Product 5,Toys & Games,1296.53,1.1,39,Funko,"High-quality toys & games product from Funko, perfect for everyday use."
6,Funko Toys & Games Product 6,Toys & Games,674.48,4.1,11,Funko,"High-quality toys & games product from Funko, perfect for everyday use."
7,Havells Home & Kitchen Product 7,Home & Kitchen,1211.08,2.0,1,Havells,"High-quality home & kitchen product from Havells, perfect for everyday use."
8,Puma Fashion Product 8,Fashion,1410.81,4.5,59,Puma,"High-quality fashion product from Puma, perfect for everyday use."
9,LEGO Toys & Games Product 9,Toys & Games,935.06,1.9,32,LEGO,"High-quality toys & games product from LEGO, perfect for everyday use."
10,Kellogg's Groceries Product 10,Groceries,869.51,2.6,81,Kellogg's,"High-quality groceries product from Kellogg's, perfect for everyday use."
11,Nivea Beauty & Personal Care Product 11,Beauty & Personal Care,1232.57,1.8,93,Nivea,"High-quality beauty & personal care product from Nivea, perfect for everyday use."
12,Spalding Sports & Outdoors Product 12,Sports & Outdoors,134.87,4.3,98,Spalding,"High-quality sports & outdoors product from Spalding, perfect for everyday use."
13,Fisher-Price Toys & Games Product 13,Toys & Games,1452.52,4.0,37,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
14,Parle Groceries Product 14,Groceries,174.57,1.8,53,Parle,"High-quality groceries product from Parle, perfect for everyday use."
15,Bridgestone Automotive Product 15,Automotive,63.68,3.4,69,Bridgestone,"High-quality automotive product from Bridgestone, perfect for everyday use."
16,Puma Fashion Product 16,Fashion,60.45,2.6,8,Puma,"High-quality fashion product from Puma, perfect for everyday use."
17,Fisher-Price Toys & Games Product 17,Toys & Games,274.52,3.1,95,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
18,Ensure Health & Wellness Product 18,Health & Wellness,1044.02,3.2,16,Ensure,"High-quality health & wellness product from Ensure, perfect for everyday use."
19,Adidas Fashion Product 19,Fashion,796.48,3.4,100,Adidas,"High-quality fashion product from Adidas, perfect for everyday use."
20,Prestige Home & Kitchen Product 20,Home & Kitchen,965.72,4.1,18,Prestige,"High-quality home & kitchen product from Prestige, perfect for everyday use."
21,Apple Electronics Product 21,Electronics,420.72,4.7,21,Apple,"High-quality electronics product from Apple, perfect for everyday use."
22,Horlicks Health & Wellness Product 22,Health & Wellness,314.85,1.2,8,Horlicks,"High-quality health & wellness product from Horlicks, perfect for everyday use."
23,Nestle Groceries Product 23,Groceries,72.97,2.3,98,Nestle,"High-quality groceries product from Nestle, perfect for everyday use."
24,HarperCollins Books Product 24,Books,1162.76,1.6,68,HarperCollins,"High-quality books product from HarperCollins, perfect for everyday use."
25,Patanjali Health & Wellness Product 25,Health & Wellness,820.25,1.2,21,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
26,HarperCollins Books Product 26,Books,1403.96,3.9,24,HarperCollins,"High-quality books product from HarperCollins, perfect for everyday use."
27,Nike Fashion Product 27,Fashion,891.67,1.5,96,Nike,"High-quality fashion product from Nike, perfect for everyday use."
28,Adidas Fashion Product 28,Fashion,1170.05,3.9,79,Adidas,"High-quality fashion product from Adidas, perfect for everyday use."
29,Mobil Automotive Product 29,Automotive,727.62,2.5,42,Mobil,"High-quality automotive product from Mobil, perfect for everyday use."
30,Dell Electronics Product 30,Electronics,1214.86,2.6,90,Dell,"High-quality electronics product from Dell, perfect for everyday use."
31,Bosch Automotive Product 31,Automotive,1269.47,2.4,87,Bosch,"High-quality automotive product from Bosch, perfect for everyday use."
32,Adidas Fashion Product 32,Fashion,1396.97,1.5,77,Adidas,"High-quality fashion product from Adidas, perfect for everyday use."
33,Puma Fashion Product 33,Fashion,1380.78,1.9,80,Puma,"High-quality fashion product from Puma, perfect for everyday use."
34,Garnier Beauty & Personal Care Product 34,Beauty & Personal Care,645.31,5.0,97,Garnier,"High-quality beauty & personal care product from Garnier, perfect for everyday use."
35,Nivea Beauty & Personal Care Product 35,Beauty & Personal Care,123.02,1.9,69,Nivea,"High-quality beauty & personal care product from Nivea, perfect for everyday use."
36,Zara Fashion Product 36,Fashion,737.27,1.9,69,Zara,"High-quality fashion product from Zara, perfect for everyday use."
37,Macmillan Books Product 37,Books,926.67,2.4,50,Macmillan,"High-quality books product from Macmillan, perfect for everyday use."
38,Hachette Books Product 38,Books,676.08,2.1,14,Hachette,"High-quality books product from Hachette, perfect for everyday use."
39,Bridgestone Automotive Product 39,Automotive,1167.15,4.3,27,Bridgestone,"High-quality automotive product from Bridgestone, perfect for everyday use."
40,Penguin Books Product 40,Books,847.29,1.2,40,Penguin,"High-quality books product from Penguin, perfect for everyday use."
41,LG Electronics Product 41,Electronics,501.56,2.7,99,LG,"High-quality electronics product from LG, perfect for everyday use."
42,Goodyear Automotive Product 42,Automotive,677.15,3.4,17,Goodyear,"High-quality automotive product from Goodyear, perfect for everyday use."
43,Levi's Fashion Product 43,Fashion,1207.84,1.2,99,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
44,Spalding Sports & Outdoors Product 44,Sports & Outdoors,262.17,4.7,78,Spalding,"High-quality sports & outdoors product from Spalding, perfect for everyday use."
45,Philips Home & Kitchen Product 45,Home & Kitchen,1342.25,1.3,18,Philips,"High-quality home & kitchen product from Philips, perfect for everyday use."
46,LG Electronics Product 46,Electronics,1466.83,4.3,69,LG,"High-quality electronics product from LG, perfect for everyday use."
47,Philips Home & Kitchen Product 47,Home & Kitchen,485.43,2.7,3,Philips,"High-quality home & kitchen product from Philips, perfect for everyday use."
48,Zara Fashion Product 48,Fashion,994.84,4.8,97,Zara,"High-quality fashion product from Zara, perfect for everyday use."
49,Nike Fashion Product 49,Fashion,576.8,3.2,8,Nike,"High-quality fashion product from Nike, perfect for everyday use."
50,Amul Groceries Product 50,Groceries,976.84,1.8,99,Amul,"High-quality groceries product from Amul, perfect for everyday use."
51,Dell Electronics Product 51,Electronics,567.78,2.2,63,Dell,"High-quality electronics product from Dell, perfect for everyday use."
52,Maybelline Beauty & Personal Care Product 52,Beauty & Personal Care,239.64,3.0,59,Maybelline,"High-quality beauty & personal care product from Maybelline, perfect for everyday use."
53,Hasbro Toys & Games Product 53,Toys & Games,1156.12,3.0,74,Hasbro,"High-quality toys & games product from Hasbro, perfect for everyday use."
54,Dabur Health & Wellness Product 54,Health & Wellness,755.16,5.0,32,Dabur,"High-quality health & wellness product from Dabur, perfect for everyday use."
55,Yonex Sports & Outdoors Product 55,Sports & Outdoors,54.26,2.2,44,Yonex,"High-quality sports & outdoors product from Yonex, perfect for everyday use."
56,Levi's Fashion Product 56,Fashion,524.74,3.7,55,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
57,Dabur Health & Wellness Product 57,Health & Wellness,612.03,4.0,77,Dabur,"High-quality health & wellness product from Dabur, perfect for everyday use."
58,Under Armour Sports & Outdoors Product 58,Sports & Outdoors,403.65,1.6,58,Under Armour,"High-quality sports & outdoors product from Under Armour, perfect for everyday use."
